ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_1694587,8.39E-08,4.94E-10,-6.849153,12.59927,-0.5294307,83376127,EEF1B2,eukaryotic translation elongation factor 1 beta 2
ILMN_1779547,8.39E-08,5.01E-10,6.846284,12.5859,0.9957264,315360641,HPSE,heparanase
ILMN_1696419,1.05E-07,6.35E-10,6.797236,12.35761,1.2220102,396578174,STOM,stomatin
ILMN_1706502,1.11E-07,6.91E-10,6.779878,12.27696,1.3152255,351542235,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
ILMN_1758418,1.11E-07,7.01E-10,6.77676,12.26248,1.3790478,325053718,TNFSF13B,tumor necrosis factor superfamily member 13b
ILMN_1767377,1.11E-07,7.02E-10,6.77642,12.2609,1.5217733,NA,,
ILMN_1701930,1.18E-07,7.56E-10,-6.761193,12.19024,-0.936255,83376127,EEF1B2,eukaryotic translation elongation factor 1 beta 2
ILMN_3241441,1.2E-07,7.82E-10,-6.754166,12.15765,-0.9624444,110347456,MEGF6,multiple EGF like domains 6
ILMN_1660847,1.23E-07,8.11E-10,6.746661,12.12285,1.1110023,223941849,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
ILMN_1799467,1.29E-07,8.64E-10,6.733579,12.06224,1.2967291,745399079,SAMD9L,sterile alpha motif domain containing 9 like
ILMN_2388547,1.4E-07,9.48E-10,6.714249,11.97276,1.4548649,388240825,EPSTI1,epithelial stromal interaction 1 (breast)
ILMN_2319000,1.57E-07,1.08E-09,-6.686838,11.84605,-1.0287966,111159471,MATK,megakaryocyte-associated tyrosine kinase
ILMN_3208014,1.57E-07,1.09E-09,-6.684736,11.83634,-0.8579648,NA,,
ILMN_1690125,1.97E-07,1.4E-09,6.63386,11.60173,0.916037,520975466,PDLIM7,PDZ and LIM domain 7
ILMN_1761566,1.97E-07,1.41E-09,6.631982,11.59308,1.5530061,110227863,CYSTM1,cysteine rich transmembrane module containing 1
ILMN_1704795,1.99E-07,1.44E-09,6.627261,11.57134,0.7520089,731441420,MARK3,microtubule affinity regulating kinase 3
ILMN_1745397,1.99E-07,1.46E-09,6.624702,11.55957,1.9595313,733216600,OAS3,2'-5'-oligoadenylate synthetase 3
ILMN_3284584,2.04E-07,1.51E-09,-6.616697,11.52274,-0.697501,NA,,
ILMN_1766045,2.25E-07,1.69E-09,6.594446,11.42046,0.8410381,331284128,SH3GLB1,SH3 domain containing GRB2 like endophilin B1
ILMN_1739792,2.26E-07,1.72E-09,6.590295,11.4014,0.6331813,147899824,RHOG,ras homolog family member G
ILMN_1807277,2.36E-07,1.84E-09,6.575516,11.33355,1.0182378,523498473,IFI30,"IFI30, lysosomal thiol reductase"
ILMN_1765880,2.36E-07,1.85E-09,6.574389,11.32839,0.9507349,305855061,USB1,U6 snRNA biogenesis phosphodiesterase 1
ILMN_2050911,2.36E-07,1.86E-09,6.573845,11.32589,1.1463112,24497489,SLC22A4,solute carrier family 22 member 4
ILMN_3211132,2.36E-07,1.88E-09,-6.57128,11.31412,-0.6676388,NA,,
ILMN_1681301,2.36E-07,1.9E-09,6.569706,11.30691,1.7921809,4757733,AIM2,absent in melanoma 2
ILMN_1682081,2.61E-07,2.13E-09,6.545723,11.19699,1.0205798,664806057,RNF19B,ring finger protein 19B
ILMN_1768110,2.69E-07,2.23E-09,6.536261,11.15367,1.0552278,82880649,ZAK,sterile alpha motif and leucine zipper containing kinase AZK
ILMN_1692956,2.69E-07,2.24E-09,-6.534934,11.1476,-0.828398,NA,,
ILMN_1845037,2.96E-07,2.51E-09,6.511101,11.0386,1.0031953,22658346,LOC100419583,ring finger protein 4 pseudogene
ILMN_1765371,2.96E-07,2.52E-09,-6.510166,11.03433,-0.6869562,995970172,LUC7L,LUC7 like
ILMN_1729973,3.04E-07,2.61E-09,6.502687,11.00017,0.8702384,27477137,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1"
ILMN_3240740,3.2E-07,2.78E-09,-6.489513,10.94002,-0.5076884,339275829,EIF3L,eukaryotic translation initiation factor 3 subunit L
ILMN_2230862,3.26E-07,2.86E-09,6.483695,10.91348,1.3106482,296040503,GYG1,glycogenin 1
ILMN_2338452,3.3E-07,2.93E-09,6.478567,10.89009,1.1460309,189163526,SERPINA1,serpin family A member 1
ILMN_2302757,3.33E-07,2.98E-09,-6.474734,10.87261,-1.2096171,154146261,FCGBP,Fc fragment of IgG binding protein
ILMN_2159453,3.37E-07,3.05E-09,6.470099,10.85148,1.1847929,439252933,STXBP2,syntaxin binding protein 2
ILMN_1678054,3.45E-07,3.15E-09,6.463436,10.82113,0.7878118,56549143,TRIM21,tripartite motif containing 21
ILMN_1679133,3.66E-07,3.38E-09,6.448563,10.7534,0.9821027,401709928,SERPINB1,serpin family B member 1
ILMN_1670302,3.76E-07,3.5E-09,6.441153,10.71969,1.310964,194097329,HK3,hexokinase 3
ILMN_3288268,4.01E-07,3.77E-09,-6.425207,10.64719,-1.4219839,NA,,
ILMN_2410986,4.13E-07,3.92E-09,6.417033,10.61005,0.8117957,47080104,STAT3,signal transducer and activator of transcription 3
ILMN_1729801,4.19E-07,4.01E-09,6.412145,10.58786,0.6936597,315221156,S100A8,S100 calcium binding protein A8
ILMN_1663618,4.22E-07,4.08E-09,6.408726,10.57233,0.735678,47458819,STAT3,signal transducer and activator of transcription 3
ILMN_1728392,4.22E-07,4.15E-09,6.40493,10.55511,1.3019227,210147580,C19orf38,chromosome 19 open reading frame 38
ILMN_1744604,4.22E-07,4.16E-09,6.404622,10.55371,0.6570691,371941004,CYBA,cytochrome b-245 alpha chain
ILMN_1654639,4.23E-07,4.24E-09,6.400543,10.5352,1.3999183,61563741,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
ILMN_2371169,4.23E-07,4.25E-09,6.400035,10.53289,0.8177282,58530843,ZYX,zyxin
ILMN_2186061,4.66E-07,4.74E-09,6.377058,10.42874,1.286433,223941849,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
ILMN_1739885,4.66E-07,4.77E-09,-6.375791,10.423,-0.5136119,56549672,SLC41A3,solute carrier family 41 member 3
ILMN_1712751,4.87E-07,5.02E-09,-6.36481,10.37329,-0.7126577,105990523,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
ILMN_1675391,5.26E-07,5.47E-09,6.346462,10.2903,1.0154061,300797322,SLC24A4,solute carrier family 24 member 4
ILMN_1753165,5.63E-07,5.91E-09,6.330238,10.21701,1.407958,296939601,WNK1,WNK lysine deficient protein kinase 1
ILMN_1741148,6.25E-07,6.61E-09,6.306353,10.10926,0.6364207,342187198,ALDOA,"aldolase, fructose-bisphosphate A"
ILMN_3205162,6.45E-07,6.88E-09,-6.297741,10.07045,-0.8260329,NA,,
ILMN_2130180,7.36E-07,7.92E-09,-6.267862,9.93599,-1.049872,224548997,RPL13P5,ribosomal protein L13 pseudogene 5
ILMN_1690105,7.44E-07,8.07E-09,6.263867,9.91804,1.1328701,189458859,STAT1,signal transducer and activator of transcription 1
ILMN_1762508,7.5E-07,8.21E-09,6.260166,9.90141,1.048318,754502068,C9orf72,chromosome 9 open reading frame 72
ILMN_1765941,7.86E-07,8.67E-09,6.248476,9.84891,1.8119906,229093086,ADGRG3,adhesion G protein-coupled receptor G3
ILMN_1685057,7.9E-07,8.79E-09,6.245652,9.83623,1.204938,24497489,SLC22A4,solute carrier family 22 member 4
ILMN_3251658,8.13E-07,9.12E-09,6.23788,9.80136,1.3983972,530788319,LILRA6,leukocyte immunoglobulin like receptor A6
ILMN_1688423,8.17E-07,9.23E-09,-6.235183,9.78926,-1.4989872,345110626,FCER1A,Fc fragment of IgE receptor Ia
ILMN_1680314,8.58E-07,9.79E-09,6.222658,9.73312,0.8009516,349732252,TXN,thioredoxin
ILMN_1726591,8.58E-07,9.85E-09,6.221273,9.72691,1.1316957,62953111,CARD16,caspase recruitment domain family member 16
ILMN_1810420,9.39E-07,1.09E-08,6.200301,9.63302,1.4608012,194394189,DYSF,dysferlin
ILMN_1684306,9.39E-07,1.1E-08,6.198632,9.62556,0.7704474,115430249,S100A4,S100 calcium binding protein A4
ILMN_1742618,9.39E-07,1.1E-08,6.196838,9.61754,1.3074454,378925605,XAF1,XIAP associated factor 1
ILMN_1795181,9.52E-07,1.13E-08,6.192415,9.59776,1.2514387,222831594,DDX60,DEXD/H-box helicase 60
ILMN_3276209,9.67E-07,1.16E-08,-6.186937,9.57327,-0.5466253,NA,,
ILMN_1807833,9.67E-07,1.16E-08,6.185678,9.56764,0.9498378,540344540,HM13,histocompatibility minor 13
ILMN_1674789,9.92E-07,1.2E-08,6.178656,9.53627,1.5769369,NA,,
ILMN_1701789,9.96E-07,1.22E-08,6.17608,9.52477,2.2473822,576795828,IFIT3,interferon induced protein with tetratricopeptide repeats 3
ILMN_2284998,1.04E-06,1.28E-08,6.165493,9.47752,0.8561883,122939207,SP100,SP100 nuclear antigen
ILMN_2054019,1.06E-06,1.32E-08,6.159107,9.44903,1.8734548,193083170,ISG15,ISG15 ubiquitin-like modifier
ILMN_1682919,1.13E-06,1.41E-08,-6.144322,9.38313,-0.8338499,140560949,PAFAH2,platelet activating factor acetylhydrolase 2
ILMN_3262025,1.22E-06,1.53E-08,-6.127125,9.30657,-0.4399895,NA,,
ILMN_2231928,1.22E-06,1.56E-08,6.122944,9.28797,1.178252,11342663,MX2,MX dynamin like GTPase 2
ILMN_3278906,1.22E-06,1.56E-08,-6.122485,9.28593,-0.4781974,NA,,
ILMN_2415786,1.29E-06,1.67E-08,-6.108553,9.224,-0.7496825,93141043,CD96,CD96 molecule
ILMN_2077094,1.29E-06,1.67E-08,-6.108265,9.22272,-0.5100667,429903861,VPS51,"VPS51, GARP complex subunit"
ILMN_1745471,1.3E-06,1.7E-08,6.104453,9.20579,0.5988986,82734235,IRF9,interferon regulatory factor 9
ILMN_3242586,1.34E-06,1.76E-08,6.096981,9.17261,0.8247626,325995153,RHOU,ras homolog family member U
ILMN_1738383,1.34E-06,1.77E-08,-6.095111,9.16431,-0.4245678,83656775,EEF2,eukaryotic translation elongation factor 2
ILMN_1707695,1.35E-06,1.79E-08,6.092646,9.15338,2.1369324,400286377,IFIT1,interferon induced protein with tetratricopeptide repeats 1
ILMN_1755123,1.37E-06,1.83E-08,6.088187,9.13359,1.0061438,284807146,GBA,glucosylceramidase beta
ILMN_1796490,1.38E-06,1.86E-08,6.084196,9.11589,0.9126249,57165372,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1
ILMN_2415144,1.41E-06,1.91E-08,6.078519,9.09072,0.6973189,190343007,SP110,SP110 nuclear body protein
ILMN_1688780,1.42E-06,1.94E-08,6.075806,9.0787,0.7567659,115430249,S100A4,S100 calcium binding protein A4
ILMN_2109708,1.52E-06,2.09E-08,6.059733,9.00752,0.9208487,384229046,TYMP,thymidine phosphorylase
ILMN_1710514,1.54E-06,2.12E-08,6.055953,8.99079,0.8798328,164664507,BCL3,B-cell CLL/lymphoma 3
ILMN_2129927,1.6E-06,2.22E-08,6.046182,8.94758,0.9181991,46370065,EXT1,exostosin glycosyltransferase 1
ILMN_1788002,1.66E-06,2.32E-08,6.036589,8.90518,1.7001141,194578900,MAPK14,mitogen-activated protein kinase 14
ILMN_2142554,1.67E-06,2.37E-08,-6.032179,8.88569,-0.5258947,221307479,NENF,neudesin neurotrophic factor
ILMN_1813625,1.67E-06,2.37E-08,6.031977,8.88481,0.8878342,68160936,TRIM25,tripartite motif containing 25
ILMN_2079655,1.67E-06,2.39E-08,-6.030635,8.87888,-0.9936749,58761538,KLRB1,killer cell lectin like receptor B1
ILMN_2355953,1.73E-06,2.49E-08,6.021215,8.8373,1.0193628,NA,,
ILMN_1742456,1.77E-06,2.57E-08,6.014911,8.80949,0.5800745,166235147,OSTF1,osteoclast stimulating factor 1
ILMN_1781184,1.77E-06,2.58E-08,6.014122,8.80601,0.9998278,148596956,MYBPC3,"myosin binding protein C, cardiac"
ILMN_1762990,1.83E-06,2.68E-08,-6.005567,8.76829,-0.4646496,574957143,KIAA0141,KIAA0141
ILMN_2278850,1.91E-06,2.81E-08,5.994983,8.72167,1.1241525,565324199,RAB24,"RAB24, member RAS oncogene family"
ILMN_2222880,1.92E-06,2.84E-08,-5.992805,8.71208,-0.5447508,378925602,SLC25A42,solute carrier family 25 member 42
ILMN_1753342,1.93E-06,2.88E-08,5.989627,8.69809,0.7134893,654823989,SAT1,spermidine/spermine N1-acetyltransferase 1
ILMN_2239754,1.98E-06,2.97E-08,5.983458,8.67095,2.105963,576795860,IFIT3,interferon induced protein with tetratricopeptide repeats 3
ILMN_1762725,1.99E-06,3E-08,-5.981209,8.66105,-0.54407,339275829,EIF3L,eukaryotic translation initiation factor 3 subunit L
ILMN_1804854,2.02E-06,3.07E-08,5.976077,8.63848,0.7388937,1022430604,CTNNA1,catenin alpha 1
ILMN_2075051,2.03E-06,3.1E-08,5.973733,8.62818,0.970635,586597900,PGS1,phosphatidylglycerophosphate synthase 1
ILMN_3199737,2.03E-06,3.12E-08,-5.972695,8.62362,-0.8449245,NA,,
ILMN_1654268,2.03E-06,3.13E-08,5.971666,8.61909,0.7908158,194688131,HMGB2,high mobility group box 2
ILMN_2356111,2.03E-06,3.16E-08,-5.969754,8.61069,-0.8146034,56549670,SLC41A3,solute carrier family 41 member 3
ILMN_1865764,2.09E-06,3.27E-08,-5.96207,8.57693,-0.6234012,22209057,ZMAT3,zinc finger matrin-type 3
ILMN_1698766,2.1E-06,3.31E-08,5.95956,8.56591,0.6090534,313482804,PYCARD,PYD and CARD domain containing
ILMN_1756541,2.12E-06,3.36E-08,-5.956406,8.55207,-0.5547253,10947033,MXD4,MAX dimerization protein 4
ILMN_2349061,2.28E-06,3.63E-08,5.939566,8.4782,1.3704151,98985817,IRF7,interferon regulatory factor 7
ILMN_1711573,2.33E-06,3.73E-08,-5.933871,8.45324,-0.7401251,93141044,CD96,CD96 molecule
ILMN_1711566,2.36E-06,3.8E-08,5.929597,8.43452,0.7691219,73858576,TIMP1,TIMP metallopeptidase inhibitor 1
ILMN_2290808,2.43E-06,3.94E-08,-5.921606,8.39953,-0.6559623,78190465,RPL21,ribosomal protein L21
ILMN_3227529,2.45E-06,3.99E-08,-5.918755,8.38705,-0.8738708,NA,,
ILMN_1661695,2.71E-06,4.44E-08,5.895512,8.28544,0.962043,216547518,IRAK3,interleukin 1 receptor associated kinase 3
ILMN_1792323,2.71E-06,4.46E-08,-5.894742,8.28208,-1.49291,302370953,HDC,histidine decarboxylase
ILMN_1808591,2.72E-06,4.5E-08,5.892559,8.27255,0.5692216,NA,,
ILMN_1675190,2.77E-06,4.67E-08,5.884632,8.23795,2.081966,301129178,RETN,resistin
ILMN_1779076,2.77E-06,4.67E-08,5.884358,8.23675,0.8322403,189217862,HINT3,histidine triad nucleotide binding protein 3
ILMN_1707156,2.77E-06,4.68E-08,5.883842,8.2345,0.6000709,197276642,LRRFIP2,LRR binding FLII interacting protein 2
ILMN_1780334,2.77E-06,4.69E-08,5.883527,8.23313,1.2120005,22095339,KCNJ2,potassium voltage-gated channel subfamily J member 2
ILMN_1666742,2.77E-06,4.72E-08,5.882268,8.22763,1.3231519,754502069,C9orf72,chromosome 9 open reading frame 72
ILMN_1775677,2.8E-06,4.79E-08,-5.87897,8.21325,-0.5802654,441418794,TYSND1,trypsin domain containing 1
ILMN_1697971,2.83E-06,4.86E-08,5.875587,8.1985,0.8764138,574957208,TRIM38,tripartite motif containing 38
ILMN_1807423,3.03E-06,5.25E-08,5.858876,8.12569,0.8402474,30795211,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
ILMN_1757210,3.03E-06,5.25E-08,5.858585,8.12442,0.7628135,110227595,CALML4,calmodulin like 4
ILMN_1670723,3.13E-06,5.47E-08,5.849884,8.08655,0.5082042,17975754,MSL3,male-specific lethal 3 homolog (Drosophila)
ILMN_1694548,3.17E-06,5.56E-08,5.846128,8.07021,1.8111666,96304463,ANXA3,annexin A3
ILMN_2061565,3.27E-06,5.76E-08,-5.838215,8.03581,-0.9340388,732170469,PLCH2,phospholipase C eta 2
ILMN_1710844,3.34E-06,5.95E-08,5.831048,8.00467,1.1644388,NA,,
ILMN_1741917,3.34E-06,5.97E-08,5.830571,8.0026,1.1284436,537544640,OSCAR,"osteoclast associated, immunoglobulin-like receptor"
ILMN_1718621,3.34E-06,5.98E-08,-5.83008,8.00046,-0.5292273,NA,,
ILMN_1752281,3.37E-06,6.06E-08,5.827228,7.98808,0.6173195,112421121,DNAJC13,DnaJ heat shock protein family (Hsp40) member C13
ILMN_3305938,3.37E-06,6.1E-08,-5.825848,7.98209,-0.7305041,163644253,SGK1,serum/glucocorticoid regulated kinase 1
ILMN_2086077,3.43E-06,6.24E-08,5.820855,7.96042,1.0329719,44921611,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit"
ILMN_3283664,3.43E-06,6.26E-08,-5.820105,7.95716,-0.3861697,NA,,
ILMN_1654398,3.43E-06,6.3E-08,5.818518,7.95027,1.3371631,663070934,RGL1,ral guanine nucleotide dissociation stimulator like 1
ILMN_3286685,3.52E-06,6.49E-08,-5.812229,7.923,-0.5517493,NA,,
ILMN_1812281,3.53E-06,6.55E-08,5.810003,7.91335,2.1159372,346986433,ARG1,arginase 1
ILMN_1691053,3.54E-06,6.59E-08,-5.808683,7.90762,-0.7753875,NA,,
ILMN_1786065,3.59E-06,6.72E-08,5.804259,7.88845,1.0878434,586798162,UHRF1,ubiquitin like with PHD and ring finger domains 1
ILMN_1736700,3.8E-06,7.19E-08,5.789558,7.82478,1.2216024,342187194,ALDOA,"aldolase, fructose-bisphosphate A"
ILMN_1656656,3.8E-06,7.19E-08,-5.789444,7.82429,-0.5320929,110349770,COX19,"COX19, cytochrome c oxidase assembly factor"
ILMN_3239445,3.98E-06,7.58E-08,-5.777896,7.77434,-0.9761205,795881087,ZBTB42,zinc finger and BTB domain containing 42
ILMN_1663422,3.98E-06,7.59E-08,5.77764,7.77323,1.126592,23957679,RGL4,ral guanine nucleotide dissociation stimulator like 4
ILMN_1706553,4.05E-06,7.76E-08,5.772488,7.75096,0.4795329,291327482,SMG7,"SMG7, nonsense mediated mRNA decay factor"
ILMN_1796146,4.19E-06,8.07E-08,5.763838,7.7136,0.8826239,197382627,EIF4E3,eukaryotic translation initiation factor 4E family member 3
ILMN_2110167,4.59E-06,8.87E-08,-5.742913,7.62333,-0.5923867,544346152,POLR1E,RNA polymerase I subunit E
ILMN_2203950,4.65E-06,9.03E-08,5.73898,7.60638,0.5037823,337752171,HLA-A,"major histocompatibility complex, class I, A"
ILMN_1658416,4.7E-06,9.18E-08,5.73551,7.59143,0.5742203,663071178,MRPS18C,mitochondrial ribosomal protein S18C
ILMN_1785732,4.7E-06,9.22E-08,5.734345,7.58641,1.3775615,315139000,TNFAIP6,TNF alpha induced protein 6
ILMN_1797001,4.86E-06,9.59E-08,5.725712,7.54925,1.1213516,77732514,DDX58,DEXD/H-box helicase 58
ILMN_3282174,5.01E-06,9.91E-08,-5.718339,7.51753,-0.8214945,NA,,
ILMN_1686664,5.05E-06,1E-07,5.715356,7.50471,1.3219858,205277384,MT2A,metallothionein 2A
ILMN_2113333,5.06E-06,1.01E-07,5.713736,7.49774,1.1918093,111494236,LGALS9B,galectin 9B
ILMN_1676358,5.09E-06,1.02E-07,5.710964,7.48583,0.8127492,48762927,RALB,RALB Ras like proto-oncogene B
ILMN_1685824,5.09E-06,1.03E-07,5.710725,7.4848,0.9629104,163644314,B4GALT5,"beta-1,4-galactosyltransferase 5"
ILMN_1711899,5.1E-06,1.03E-07,5.709152,7.47804,0.9106954,50845385,ANXA2,annexin A2
ILMN_1654518,5.14E-06,1.05E-07,-5.706465,7.4665,-0.5218646,584277043,LRCH4,leucine rich repeats and calponin homology domain containing 4
